area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
20005,5,51,2005,5,103,2429514
20005,5,52,2005,22,119,3708209
20005,5,53,2005,12,61,718263
20005,5,54,2005,25,183,5826066
20005,5,55,2005,4,0,0
20005,5,56,2005,13,0,0
20005,5,61,2005,2,0,0
20005,5,62,2005,47,0,0
20005,5,71,2005,5,38,291992
20005,5,72,2005,29,554,4199568
20005,5,81,2005,31,175,1880524
20007,5,11,2005,9,27,366521
20007,5,21,2005,18,96,4038599
20007,5,22,2005,2,0,0
20007,5,23,2005,24,55,1075572
20007,5,31,2005,6,160,6742540
20007,5,42,2005,8,80,1680229
20007,5,44,2005,32,253,3293790
20007,5,48,2005,11,0,0
20007,5,51,2005,4,0,0
20007,5,52,2005,13,100,3560139
20007,5,53,2005,5,24,770792
20007,5,54,2005,13,0,0
20007,5,56,2005,4,0,0
20007,5,62,2005,5,54,1351939
20007,5,71,2005,2,0,0
20007,5,72,2005,16,0,0
20007,5,81,2005,19,0,0
20009,5,11,2005,19,153,4920568
20009,5,21,2005,71,608,26413356
20009,5,22,2005,6,111,7073157
20009,5,23,2005,85,604,25319889
20009,5,31,2005,38,1277,38382060
20009,5,42,2005,77,716,24631320
20009,5,44,2005,137,1713,36161213
20009,5,48,2005,42,319,13477004
20009,5,51,2005,15,118,3643743
20009,5,52,2005,67,778,23733025
20009,5,53,2005,23,80,1515417
20009,5,54,2005,64,0,0
20009,5,55,2005,1,0,0
20009,5,56,2005,39,315,7221629
20009,5,61,2005,1,0,0
20009,5,62,2005,79,0,0
20009,5,71,2005,14,111,982574
20009,5,72,2005,59,783,7637227
20009,5,81,2005,89,254,5150357
21000,5,11,2005,854,7346,198643657
21000,5,21,2005,751,20920,1091082134
21000,5,22,2005,271,6445,387865351
21000,5,23,2005,10778,84232,3011687960
21000,5,31,2005,4583,262098,11542299152
21000,5,42,2005,7980,74599,3469653432
21000,5,44,2005,16117,212657,4521299684
21000,5,48,2005,3592,79603,3371533945
21000,5,51,2005,1602,29177,1127127982
21000,5,52,2005,6185,67142,3218415274
21000,5,53,2005,3922,19813,551515075
21000,5,54,2005,9420,59979,2790593945
21000,5,55,2005,509,15783,1274064992
21000,5,56,2005,4989,96094,2019582634
21000,5,61,2005,733,14537,393546284
21000,5,62,2005,9396,201324,7090813003
21000,5,71,2005,1397,18427,342306618
21000,5,72,2005,7051,146183,1793684655
21000,5,81,2005,8584,44981,1077906946
21000,5,99,2005,1937,2669,116654116
22000,5,11,2005,1566,11416,278760840
22000,5,21,2005,1533,42476,2748280544
22000,5,22,2005,530,9641,611654906
22000,5,23,2005,10258,118805,4289180979
22000,5,31,2005,4190,151758,7497797046
22000,5,42,2005,7869,73969,3310903920
22000,5,44,2005,17173,219615,4718020726
22000,5,48,2005,4009,66974,2781259357
22000,5,51,2005,1697,29169,1185077749
22000,5,52,2005,8106,60585,2737491821
